[Header]
Application Name	LabSolutions
8,89600	-18
8,90667	-20
8,91733	-23
8,92800	-22
8,93867	-20
8,94933	-19
8,96000	-23
8,97067	-20
8,98133	-18
8,99200	-12
9,00267	-14
9,01333	-13
9,02400	-13
9,03467	-14
9,04533	-20
9,05600	-22
9,06667	-20
9,07733	-24
9,08800	-18
9,09867	-19
9,10933	-18
9,12000	-18
9,13067	-19
9,14133	-21
9,15200	-19
9,16267	-19
9,17333	-19
9,18400	-19
9,19467	-23
9,20533	-24
9,21600	-18
9,22667	-23
9,23733	-27
9,24800	-32
9,25867	-27
9,26933	-26
9,28000	-20
9,29067	-28
9,30133	-28
9,31200	-23
9,32267	-27
9,33333	-26
9,34400	-26
9,35467	-30
9,36533	-20
9,37600	-20
9,38667	-26
9,39733	-28
9,40800	-27
9,41867	-28
9,42933	-28
9,44000	-30
9,45067	-24
9,46133	-32
9,47200	-27
9,48267	-20
9,49333	-25
9,50400	-20
9,51467	-25
9,52533	-22
9,53600	-28
9,54667	-23
9,55733	-21
9,56800	-20
9,57867	-26
9,58933	-24
9,60000	-26
9,61067	-21
9,62133	-20
9,63200	-18
9,64267	-14
9,65333	-11
9,66400	-14
9,67467	-16
9,68533	-20
9,69600	-17
9,70667	-16
9,71733	-14
9,72800	-15
9,73867	-16
9,74933	-19
9,76000	-15
9,77067	-16
9,78133	-14
9,79200	-15
9,80267	-16
9,81333	-18
9,82400	-18
9,83467	-22
9,84533	-16
9,85600	-23
9,86667	-20
9,87733	-19
9,88800	-23
9,89867	-17
9,90933	-18
9,92000	-17
9,93067	-14
9,94133	-16
9,95200	-23
9,96267	-21
9,97333	-27
9,98400	-24
9,99467	-24
10,00533	-21
10,01600	-25
10,02667	-29
10,03733	-21
10,04800	-21
10,05867	-17
10,06933	-13
10,08000	-18
10,09067	-17
10,10133	-18
10,11200	-18
10,12267	-20
10,13333	-21
10,14400	-23
10,15467	-16
10,16533	-16
10,17600	-21
10,18667	-19
10,19733	-23
10,20800	-21
10,21867	-16
10,22933	-16
10,24000	-22
10,25067	-16
10,26133	-25
10,27200	-19
10,28267	-20
10,29333	-20
10,30400	-20
10,31467	-15
10,32533	-15
10,33600	-18
10,34667	-17
10,35733	-23
10,36800	-21
10,37867	-23
10,38933	-24
10,40000	-17
10,41067	-13
10,42133	-17
10,43200	-16
10,44267	-16
10,45333	-13
10,46400	-14
10,47467	-15
10,48533	-17
10,49600	-21
10,50667	-18
10,51733	-18
10,52800	-18
10,53867	-22
10,54933	-25
10,56000	-18
10,57067	-13
10,58133	-10
10,59200	-16
10,60267	-12
10,61333	-15
10,62400	-15
10,63467	-13
10,64533	-18
10,65600	-15
10,66667	-11
10,67733	-5
10,68800	13
10,69867	-5
10,70933	-13
10,72000	53
10,73067	50
10,74133	-0
10,75200	-16
10,76267	-18
10,77333	-13
10,78400	-20
10,79467	-19
10,80533	-16
10,81600	-20
10,82667	-27
10,83733	-24
10,84800	-19
10,85867	-21
10,86933	-17
10,88000	-13
10,89067	-18
10,90133	-13
10,91200	-13
10,92267	-6
10,93333	-14
10,94400	-12
10,95467	-8
10,96533	-7
10,97600	-11
10,98667	-11
10,99733	-14
11,00800	-14
11,01867	-12
11,02933	-11
11,04000	-11
11,05067	-10
11,06133	-11
11,07200	-5
11,08267	-14
11,09333	-16
11,10400	-20
11,11467	-18
11,12533	-13
11,13600	-13
11,14667	-8
11,15733	-7
11,16800	-9
11,17867	-13
11,18933	-12
11,20000	-7
11,21067	-9
11,22133	-8
11,23200	-7
11,24267	-11
11,25333	-5
11,26400	-10
11,27467	-9
11,28533	-9
11,29600	-2
11,30667	-4
11,31733	-3
11,32800	-5
11,33867	-2
11,34933	-7
11,36000	64
11,37067	145
11,38133	51
11,39200	15
11,40267	-1
11,41333	-5
11,42400	-3
11,43467	-7
11,44533	-8
11,45600	-3
11,46667	-0
11,47733	-1
11,48800	-4
11,49867	-0
11,50933	-6
11,52000	-3
11,53067	-5
11,54133	-2
11,55200	-4
11,56267	-5
11,57333	-6
11,58400	-6
11,59467	-4
11,60533	-6
11,61600	-7
11,62667	-12
11,63733	-10
11,64800	-15
11,65867	-8
11,66933	-9
11,68000	-13
11,69067	-10
11,70133	-10
11,71200	-18
11,72267	-11
11,73333	-10
11,74400	-13
11,75467	-9
11,76533	-13
11,77600	-12
11,78667	-5
11,79733	-6
11,80800	-9
11,81867	-9
11,82933	-9
11,84000	-5
11,85067	-4
11,86133	-9
11,87200	-9
11,88267	-12
11,89333	-8
11,90400	-9
11,91467	-12
11,92533	-11
11,93600	-10
11,94667	-10
11,95733	-8
11,96800	-14
11,97867	-11
11,98933	-13
12,00000	-15
12,01067	-14
12,02133	-7


